2026-08-23T17:13:58.679Z | server_startup | {"time":"2026-08-23T17:13:58.678Z","environment":{"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false},"database":"203.202.241.211:1433","user":"mcp_user","databaseName":"DataMart","schema":"dbo","startedVia":"C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\@liangshanli\\mcp-server-mssqlserver\\src\\server-final.js"} | SUCCESS | RESPONSE: {"status":"starting"}
2026-08-23T17:13:58.680Z | server_startup | {"time":"2026-08-23T17:13:58.679Z","environment":{"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false},"database":"203.202.241.211:1433","user":"mcp_user","databaseName":"DWH","schema":"dbo","startedVia":"C:\\Users\\ferha\\AppData\\Local\\npm-cache\\_npx\\ffdd41263fd07c20\\node_modules\\@liangshanli\\mcp-server-mssqlserver\\src\\server-final.js"} | SUCCESS | RESPONSE: {"status":"starting"}
2026-08-23T17:13:58.679Z | main | {} | SUCCESS | RESPONSE: {"status":"starting"}
2026-08-23T17:13:58.687Z | main | {} | SUCCESS | RESPONSE: {"status":"starting"}
2026-08-23T17:13:58.687Z | server_status | {} | SUCCESS | RESPONSE: {"status":"started"}
2026-08-23T17:13:58.688Z | log_config | {"logDir":"./logs","logFile":"logs\\mcp-mssqlserver.log"} | SUCCESS | RESPONSE: {"status":"configured"}
2026-08-23T17:13:58.688Z | server_status | {} | SUCCESS | RESPONSE: {"status":"started"}
2026-08-23T17:13:58.688Z | log_config | {"logDir":"./logs","logFile":"logs\\mcp-mssqlserver.log"} | SUCCESS | RESPONSE: {"status":"configured"}
2026-08-23T17:13:58.689Z | server_start | {"name":"mssqlserver-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs\\mcp-mssqlserver.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-08-23T17:13:58.689Z | server_start | {"name":"mssqlserver-mcp-server","version":"1.0.0","logDir":"./logs","logFile":"logs\\mcp-mssqlserver.log"} | SUCCESS | RESPONSE: {"status":"started"}
2026-08-23T17:13:58.689Z | main | {} | SUCCESS | RESPONSE: {"status":"started"}
2026-08-23T17:13:58.690Z | main | {} | SUCCESS | RESPONSE: {"status":"started"}
2026-08-23T17:13:58.693Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{}},"clientInfo":{"name":"opencode","version":"1.18.21"}} | SUCCESS | RESPONSE: null
2026-08-23T17:13:58.694Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{}},"clientInfo":{"name":"opencode","version":"1.18.21"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mssqlserver-mcp-server","version":"1.0.0"}}
2026-08-23T17:13:58.698Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{}},"clientInfo":{"name":"opencode","version":"1.18.21"}} | SUCCESS | RESPONSE: null
2026-08-23T17:13:58.699Z | initialize | {"protocolVersion":"2025-11-25","capabilities":{"roots":{}},"clientInfo":{"name":"opencode","version":"1.18.21"}} | SUCCESS | RESPONSE: {"protocolVersion":"2025-11-25","capabilities":{"tools":{"listChanged":false},"roots":{"listChanged":false}},"serverInfo":{"name":"mssqlserver-mcp-server","version":"1.0.0"}}
2026-08-23T17:13:58.705Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations","inputSchema":{"type":"object","properties":{}}}],"environment":{"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MSSQL_SERVER":"203.202.241.211","MSSQL_PORT":"1433","MSSQL_USER":"mcp_user","MSSQL_DATABASE":"DataMart","MSSQL_SCHEMA":"dbo","serverInfo":{"name":"mssqlserver-mcp-server","version":"1.0.0"}}}
2026-08-23T17:14:13.706Z | connection_pool_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:14:13.707Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-08-23T17:14:13.719Z | connection_pool_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:14:13.720Z | notifications/initialized | {} | SUCCESS | RESPONSE: null
2026-08-23T17:14:13.720Z | tools/list | {} | SUCCESS | RESPONSE: {"tools":[{"name":"sql_query","description":"Execute SQL query, supports DDL and DML operations","inputSchema":{"type":"object","properties":{"sql":{"type":"string","description":"SQL statement to execute"}},"required":["sql"]}},{"name":"get_database_info","description":"Get database information, including database list, table list and configuration information","inputSchema":{"type":"object","properties":{}}},{"name":"get_operation_logs","description":"Get operation logs","inputSchema":{"type":"object","properties":{"limit":{"type":"number","description":"Limit count, default 50"},"offset":{"type":"number","description":"Offset, default 0"}}}},{"name":"check_permissions","description":"Check database permissions for DDL, DROP, DELETE and other operations","inputSchema":{"type":"object","properties":{}}}],"environment":{"ALLOW_DDL":false,"ALLOW_DROP":false,"ALLOW_DELETE":false,"MSSQL_SERVER":"203.202.241.211","MSSQL_PORT":"1433","MSSQL_USER":"mcp_user","MSSQL_DATABASE":"DWH","MSSQL_SCHEMA":"dbo","serverInfo":{"name":"mssqlserver-mcp-server","version":"1.0.0"}}}
2026-08-23T17:19:28.778Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:19:28.778Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:19:28.793Z | connection_pool_closed | {} | SUCCESS | RESPONSE: {"status":"closed"}
2026-08-23T17:19:43.813Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:19:43.814Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:19:43.815Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:19:43.816Z | health_check_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:19:43.816Z | connection_pool_recreate_error | {"error":"Failed to connect to 203.202.241.211:1433 in 15000ms"} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
2026-08-23T17:19:43.820Z | tools/call | {"name":"get_database_info","arguments":{},"_meta":{"progressToken":2}} | Failed to connect to 203.202.241.211:1433 in 15000ms | RESPONSE: null
